DEPARTAMENTO;"GRUPO 
DE CULTIVO";DESAGREGACIÓN REGIONAL Y/O SISTEMA PRODUCTIVO;Hectáreas sembradas, 2007-2012
AMAZONAS;CEREALES;ARROZ SECANO MANUAL;312
AMAZONAS;CEREALES;MAIZ TRADICIONAL;2124,5
AMAZONAS;FRUTALES;AGUACATE;70
AMAZONAS;FRUTALES;AGUAJE;325
AMAZONAS;FRUTALES;ARAZA;448
AMAZONAS;FRUTALES;ASAI;338
AMAZONAS;FRUTALES;BACURI;5
AMAZONAS;FRUTALES;BANANO;129
AMAZONAS;FRUTALES;BOROJO;14
AMAZONAS;FRUTALES;CAIMO;25
AMAZONAS;FRUTALES;CHONTADURO;89
AMAZONAS;FRUTALES;COCO;48
AMAZONAS;FRUTALES;COPOAZU;669
AMAZONAS;FRUTALES;FRUTALES VARIOS;237
AMAZONAS;FRUTALES;GUAMA;297
AMAZONAS;FRUTALES;GUANABANA;39
AMAZONAS;FRUTALES;GUAYABA;46
AMAZONAS;FRUTALES;LIMON;32
AMAZONAS;FRUTALES;MACADAMIA;5
AMAZONAS;FRUTALES;MANDARINA;13
AMAZONAS;FRUTALES;MANGO;142
AMAZONAS;FRUTALES;NARANJA;23
AMAZONAS;FRUTALES;PAPAYA;6
AMAZONAS;FRUTALES;PATILLA;37
AMAZONAS;FRUTALES;PEPA DE PAN;3
AMAZONAS;FRUTALES;PIÑA;495
AMAZONAS;FRUTALES;POMARROSA;17
AMAZONAS;FRUTALES;UMARI;23
AMAZONAS;FRUTALES;UVA CAIMARONA;572
AMAZONAS;FRUTALES;ZAPOTE;2
AMAZONAS;HORTALIZAS;AHUYAMA;22
AMAZONAS;HORTALIZAS;AJI;143
AMAZONAS;HORTALIZAS;CEBOLLA DE RAMA;89
AMAZONAS;HORTALIZAS;CILANTRO;134,5
AMAZONAS;HORTALIZAS;PEPINO COHOMBRO;67
AMAZONAS;HORTALIZAS;PIMENTON;165,5
AMAZONAS;HORTALIZAS;TOMATE;107,5
AMAZONAS;LEGUMINOSAS;FRIJOL;36,5
AMAZONAS;LEGUMINOSAS;HABICHUELA;6
AMAZONAS;LEGUMINOSAS;MANI;13
AMAZONAS;OLEAGINOSAS;SACHA INCHI;3
AMAZONAS;OTROS PERMANENTES;CACAO;40
AMAZONAS;OTROS PERMANENTES;CAÑA PANELERA;171
AMAZONAS;PLANTAS AROMATICAS, CONDIMENTARIAS Y MEDICINALES;ACHICORIA;15
AMAZONAS;PLANTAS AROMATICAS, CONDIMENTARIAS Y MEDICINALES;CANYARANA;5
AMAZONAS;PLANTAS AROMATICAS, CONDIMENTARIAS Y MEDICINALES;CURCUMA;9
AMAZONAS;PLANTAS AROMATICAS, CONDIMENTARIAS Y MEDICINALES;JENGIBRE;5
AMAZONAS;PLANTAS AROMATICAS, CONDIMENTARIAS Y MEDICINALES;TANGARANA;2
AMAZONAS;TUBERCULOS Y PLATANOS;BATATA;7
AMAZONAS;TUBERCULOS Y PLATANOS;ÑAME;7
AMAZONAS;TUBERCULOS Y PLATANOS;PAPA CHINA;1
AMAZONAS;TUBERCULOS Y PLATANOS;PLATANO;3106
AMAZONAS;TUBERCULOS Y PLATANOS;YUCA;6343
ANTIOQUIA;CEREALES;ARROZ SECANO MANUAL;56302,5
ANTIOQUIA;CEREALES;ARROZ SECANO MECANIZADO;19590
ANTIOQUIA;CEREALES;MAIZ FORRAJERO;150
ANTIOQUIA;CEREALES;MAIZ TECNIFICADO;19264
ANTIOQUIA;CEREALES;MAIZ TRADICIONAL;141966
ANTIOQUIA;FIBRAS;ALGODON;474
ANTIOQUIA;FIBRAS;FIQUE;13755
ANTIOQUIA;FLORES Y FOLLAJES;ANTURIO;5
ANTIOQUIA;FLORES Y FOLLAJES;ASTROMELIA;6
ANTIOQUIA;FLORES Y FOLLAJES;FLORES Y FOLLAJES;78
ANTIOQUIA;FLORES Y FOLLAJES;HELICONIA;79
ANTIOQUIA;FLORES Y FOLLAJES;HORTENSIA;1807
ANTIOQUIA;FLORES Y FOLLAJES;ORQUIDEA;4
ANTIOQUIA;FLORES Y FOLLAJES;ROSA;46
ANTIOQUIA;FORESTALES;CAUCHO;30130
ANTIOQUIA;FRUTALES;AGUACATE;30538
ANTIOQUIA;FRUTALES;BANANITO;351
ANTIOQUIA;FRUTALES;BANANO;6859
ANTIOQUIA;FRUTALES;BANANO EXPORTACION;200509
ANTIOQUIA;FRUTALES;BANANO MANZANO;2930
ANTIOQUIA;FRUTALES;BOROJO;715
ANTIOQUIA;FRUTALES;BREVO;114
ANTIOQUIA;FRUTALES;CHIRIMOYA;124
ANTIOQUIA;FRUTALES;CHONTADURO;85
ANTIOQUIA;FRUTALES;CITRICOS;1828
ANTIOQUIA;FRUTALES;COCO;3440
ANTIOQUIA;FRUTALES;COROZO;40
ANTIOQUIA;FRUTALES;CURUBA;317
ANTIOQUIA;FRUTALES;FRESA;1795
ANTIOQUIA;FRUTALES;FRUTALES VARIOS;80
